City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Cabo San Lucas,MX,2022-07-21 15:18:06,22.8909,-109.9124,93.61,45,0,14.97
248,Saint-Pierre,RE,2022-07-21 15:20:55,-21.3393,55.4781,69.48,69,20,6.91
249,La Plata,AR,2022-07-21 15:20:55,-34.9215,-57.9545,63.03,54,86,9.15
250,Linares,CL,2022-07-21 15:20:56,-35.85,-71.6,52.93,70,11,5.12
251,Malatya,TR,2022-07-21 15:20:56,38.5,38.0,86.05,22,20,21.85
252,Mandiana,GN,2022-07-21 15:20:57,10.6333,-8.6833,81.66,69,91,7.49
253,Isetskoye,RU,2022-07-21 15:20:57,56.4858,65.3226,60.78,95,97,8.25
254,Prince Rupert,CA,2022-07-21 15:20:58,54.3161,-130.3201,55.49,87,100,4.61
255,Port Macquarie,AU,2022-07-21 15:20:58,-31.4333,152.9167,57.09,88,75,6.91
256,Ginir,ET,2022-07-21 15:20:59,7.1333,40.7,65.03,62,58,10.11
257,Fomboni,KM,2022-07-21 15:20:59,-12.28,43.7425,76.1,69,0,0.67
258,Richards Bay,ZA,2022-07-21 15:21:00,-28.783,32.0377,69.12,77,6,7.36
259,Cherskiy,RU,2022-07-21 15:21:00,68.75,161.3,31.71,94,12,11.86
260,Uyemskiy,RU,2022-07-21 15:21:01,64.4743,40.8524,69.85,77,20,8.95
261,Aragarcas,BR,2022-07-21 15:21:01,-15.8975,-52.2508,88.45,37,0,11.5
262,Fairbanks,US,2022-07-21 15:17:36,64.8378,-147.7164,56.25,75,75,1.01
263,Sovetskiy,RU,2022-07-21 15:21:02,61.3614,63.5842,65.08,43,46,7.18
264,Davila,PH,2022-07-21 15:21:03,18.4726,120.5763,80.58,82,68,10.87
265,Mandan,US,2022-07-21 15:18:22,46.8267,-100.8896,75.36,58,0,11.5
266,Hasaki,JP,2022-07-21 15:21:04,35.7333,140.8333,79.29,91,100,13.98
267,Batagay-Alyta,RU,2022-07-21 15:21:04,67.8006,130.4114,46.83,84,98,2.59
268,Chaumont,FR,2022-07-21 15:21:04,48.1167,5.1333,81.37,28,2,8.57
269,Nome,US,2022-07-21 15:21:05,64.5011,-165.4064,46.47,93,100,4.61
270,Alofi,NU,2022-07-21 15:21:05,-19.0595,-169.9187,69.69,88,7,5.75
271,Mahanoro,MG,2022-07-21 15:21:06,-19.9,48.8,67.46,78,32,2.35
